Criminal_ID,Name,Gender,DOB,Nationality,Contact_No,Known_Address
C032,Sneha Singh,F,1983-11-20,Indian,4321098765,15,Jubilee Hills,Hyderabad
C033,Aman Gupta,M,1980-04-18,Indian,3210987654,7,Marine Drive,Mumbai
C034,Nisha Verma,F,1985-08-03,Indian,2109876543,18,Hazratganj,Lucknow
C035,Arjun Singh,M,1986-06-27,Indian,1098765432,27,Karol Bagh,Delhi
C036,Sameer Khan,M,1981-03-10,Indian,0987654321,NULL
C037,Neha Patel,F,1987-09-05,Indian,9876543210,5,Ameerpet,Hyderabad
C038,Aditya Sharma,M,1983-12-21,Indian,8765432109,14,Zakir Nagar,Delhi
C039,Kritika Gupta,F,1988-07-14,Indian,7654321098,25,Banjara Hills,Hyderabad
C040,Aarav Verma,M,1977-05-08,Indian,6543210987,40,Marine Lines,Mumbai
C041,Natasha Khan,F,1982-11-30,Indian,5432109876,8,Park Street,Kolkata
C042,Aisha Ahmed,F,1984-10-17,Indian,4321098765,19,Marine Drive,Mumbai
C043,Sameer Kapoor,M,1979-08-22,Indian,3210987654,11,Cathedral Road,Chennai
C044,Sameer Patel,M,1985-06-19,Indian,2109876543,35,Jubilee Hills,Hyderabad
C045,Aryan Gupta,M,1980-09-25,Indian,1098765432,6,Bandra West,Mumbai
C046,Zara Khan,F,1983-04-14,Indian,0987654321,20,Guwahati Road,Guwahati
C047,Armaan Singh,M,1987-03-05,Indian,9876543210,11,Ballygunge,Kolkata
C048,Danish Ahmed,M,1982-08-18,Indian,8765432109,8,Dispur,Guwahati
C049,Aisha Patel,F,1980-11-29,Indian,7654321098,23,Brigade Road,Bangalore
C050,Arjun Singh,M,1985-06-25,Indian,9876543210,15,Andheri West,Mumbai
C051,Aisha Verma,F,1980-11-15,Indian,8765432109,8,Hazratganj,Lucknow
C052,Danish Gupta,M,1979-04-20,Indian,7654321098,12,Jammu Tawi,Jammu
C053,Zara Khan,F,1983-09-10,Indian,6543210987,10,Cathedral Road,Chennai
C054,Sameer Patel,M,1987-02-05,Indian,5432109876,45,Ameerpet,Hyderabad
C055,Riya Sharma,F,1982-12-30,Indian,4321098765,20,Park Street,Kolkata
C057,Neha Verma,F,1984-10-17,Indian,2109876543,22,Connaught Place,Delhi
C058,Vivek Singh,M,1983-07-22,Indian,1098765432,34,Dispur,Guwahati
C059,Ayesha Gupta,F,1988-03-05,Indian,0987654321,14,Banjara Hills,Hyderabad
C060,Karan Patel,M,1981-08-18,Indian,9876543210,17,Jammu Tawi,Jammu
C061,Zoya Khan,F,1986-05-25,Indian,8765432109,28,Andheri West,Mumbai
C062,Arjun Verma,M,1982-12-08,Indian,7654321098,45,Park Street,Kolkata
C063,Natasha Sharma,F,1979-07-30,Indian,6543210987,22,Connaught Place,Delhi
C064,Aryan Singh,M,1988-02-15,Indian,5432109876,34,Dispur,Guwahati
C065,Sameer Kumar,M,1983-11-20,Indian,4321098765,15,Jubilee Hills,Hyderabad
C066,Riya Patel,F,1980-04-18,Indian,3210987654,7,Marine Drive,Mumbai
C068,Neha Singh,F,1987-06-27,Indian,1098765432,27,Karol Bagh,Delhi
C069,Danish Sharma,M,1981-03-10,Indian,0987654321,10,Cathedral Road,Chennai
C070,Zara Gupta,F,1985-09-05,Indian,9876543210,15,Jubilee Hills,Hyderabad
C071,Armaan Khan,M,1980-04-10,Indian,8765432109,20,Park Street,Kolkata
C072,Ayesha Patel,F,1983-07-12,Indian,7654321098,34,Dispur,Guwahati
C073,Rohan Kumar,M,1979-02-20,Indian,6543210987,5,Amritsar,Punjab
C074,Imran Khan,M,1982-07-15,Pakistani,9876543210,25,Islamabad,Pakistan
C075,Ayesha Patel,F,1985-03-20,Indian,8765432109,10,Jubilee Hills,Hyderabad
C076,Priya Sharma,F,1988-11-10,Indian,7654321098,5,Andheri West,Mumbai
C077,Ahmed Khan,M,1983-09-05,Indian,6543210987,15,Hazratganj,Lucknow
C078,Hasan Ali,M,1979-12-30,Pakistani,5432109876,20,Lahore,Pakistan
C079,Maya Patel,F,1986-08-25,Indian,4321098765,30,Whitefield,Bangalore
C080,Rahul Singh,M,1980-05-02,Indian,3210987654,35,Jaipur,Rajasthan
C081,Natasha Khan,F,1987-10-18,Pakistani,2109876543,15,Karachi,Pakistan
C082,Rakesh Sharma,M,1984-04-08,Indian,1098765432,40,Indiranagar,Bengaluru
C083,Kavita Gupta,F,1989-02-14,Indian,0987654321,25,Civil Lines,Ludhiana
C084,Nirmal Das,F,1982-06-28,Indian,9876543210,12,Dimapur,Nagaland
C085,Anaya Patel,F,1987-09-30,Indian,8765432109,35,MG Road,Bengaluru
C086,Rohan Singh,M,1983-01-12,Indian,7654321098,10,Andheri East,Mumbai
C087,Kritika Sharma,F,1980-08-20,Indian,6543210987,17,Hazratganj,Lucknow
C088,Vishal Kumar,M,1978-04-05,Indian,5432109876,22,Gandhi Nagar,Jammu
C089,Priya Gupta,F,1985-12-03,Indian,4321098765,30,Kilpauk,Chennai
C090,Arnav Patel,M,1981-11-28,Indian,3210987654,40,Ashram Road,Ahmedabad
C091,Riya Singh,F,1986-07-22,Indian,2109876543,20,Park Street,Kolkata
C092,Karan Sharma,M,1984-03-15,Indian,1098765432,45,MG Road,Bengaluru
C093,Neha Gupta,F,1989-09-05,Indian,0987654321,25,Sector 18,Chandigarh
C094,Aamir Khan,M,1982-08-30,Indian,9876543210,12,Guwahati,Assam
C095,Sonia Patel,F,1987-06-25,Indian,8765432109,15,Kondapur,Hyderabad
C097,Anushka Sharma,F,1980-10-10,Indian,6543210987,30,Gomti Nagar,Lucknow
C098,Amir Singh,M,1984-05-15,Indian,5432109876,25,Malviya Nagar,Delhi
C099,Nadeem Khan,M,1980-09-08,Pakistani,4321098765,15,Karachi,Pakistan
C100,Divya Patel,F,1987-11-12,Indian,3210987654,40,Nungambakkam,Chennai
C101,Rohit Singh,M,1982-06-20,Indian,2109876543,25,Panjim,Goa
C102,Suresh Kumar,M,1985-04-17,Indian,1098765432,35,Park Street,Kolkata
C103,Anjali Sharma,F,1988-12-30,Indian,0987654321,20,Jubilee Hills,Hyderabad
C104,Vikas Gupta,M,1983-08-05,Indian,9876543210,15,Sector 17,Chandigarh
C105,Natasha Verma,F,1986-02-28,Indian,8765432109,30,Guwahati,Assam
C106,Amit Kumar,M,1981-07-10,Indian,7654321098,20,Banjara Hills,Hyderabad
C107,Simran Singh,F,1984-05-03,Indian,6543210987,25,Churchgate,Mumbai
C108,Deepak Sharma,M,1989-09-20,Indian,5432109876,40,Gomti Nagar,Lucknow
C109,Pooja Patel,F,1987-04-15,Indian,4321098765,35,Malleshwaram,Bengaluru
C110,Vivek Verma,M,1982-01-08,Indian,3210987654,15,Velachery,Chennai
C111,Kavita Singh,F,1979-06-25,Indian,2109876543,30,Satellite,Ahmedabad
C112,Manish Kumar,M,1986-11-30,Indian,1098765432,20,Salt Lake,Kolkata
C113,Ankit Gupta,M,1983-03-12,Indian,0987654321,25,Jayanagar,Bengaluru
C114,Vikram Singh,M,1988-08-18,Indian,9876543210,15,Katra Ahluwalia,Amritsar
C115,Anil Kumar,M,1982-05-05,Indian,8765432109,30,Beltola,Guwahati
C116,Nilani Silva,F,1987-06-12,Sri Lankan,9876543210,10,Colombo,Sri Lanka
C117,Saman Jayawardene,M,1984-09-15,Sri Lankan,6543210987,15,Kandy,Sri Lanka
C118,Lahiru Perera,M,1981-05-30,Sri Lankan,7654321098,8,Matara,Sri Lanka
C119,Pradeep Kumar,M,1985-02-20,Indian,8765432109,25,Andheri West,Mumbai
C120,Mohammed Ali,M,1982-04-30,Pakistani,5432109876,20,Lahore,Pakistan
C121,Neha Sharma,F,1986-08-05,Indian,4321098765,30,Vastrapur,Ahmedabad
C122,Rahul Kumar,M,1989-12-25,Indian,3210987654,40,Salt Lake City,Kolkata
C123,Priya Singh,F,1983-07-18,Indian,2109876543,15,Indiranagar,Bengaluru
C124,Vinod Patel,M,1980-10-22,Indian,0987654321,25,Rohini,Delhi
C125,Ayesha Khan,F,1984-03-05,Pakistani,9876543210,12,Karachi,Pakistan
C126,Suresh Kumar,M,1987-09-10,Indian,8765432109,10,Jubilee Hills,Hyderabad
C127,Riyaz Abdul Rahiman,M,1988-01-15,Pakistani,6543210987,22,Kurunegala,Sri Lanka
